taxon_name,plant_growth_form,woodiness_detailed,life_history,references
(Dockrillia pugioniformis x Dockrillia striolata) x Dockrillia pugioniformis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abelia x grandiflora,shrub,woody,perennial,scraped from online flora: species
Abelmoschus ficulneus,shrub,woody,annual,scraped from online flora: species
Abelmoschus manihot subsp. manihot,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus manihot subsp. tetraphyllus,shrub tree,woody,perennial,FoA print editions: species - FoA print
Abelmoschus manihot,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus moschatus subsp. biakensis,shrub,woody,perennial,scraped from online flora: species - WA
Abelmoschus moschatus subsp. moschatus,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus moschatus subsp. tuberosus,herb shrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus moschatus,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abildgaardia ovata,graminoid,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abildgaardia vaginata,graminoid,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abrodictyum brassii,fern,herbaceous,perennial,scraped from online flora: species
Abrodictyum caudatum,fern,herbaceous,perennial,scraped from online flora: species
Abrodictyum obscurum,fern,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abroma molle,shrub tree,woody,perennial,scraped from online flora: species
Abrophyllum ornans var. microcarpum,shrub tree,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abrophyllum ornans var. ornans,shrub tree,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abrophyllum ornans,shrub tree,woody,perennial,scraped from online flora: species
Abrotanella forsteroides,herb,herbaceous,perennial,scraped from online flora: species
Abrotanella nivigena,herb,herbaceous,perennial,"scraped from online flora: species - FoA, Vic"
Abrotanella scapigera,herb,herbaceous,perennial,scraped from online flora: species
Abrus precatorius subsp. africanus,climber_woody,woody,perennial,scraped from online flora: species
Abrus precatorius subsp. precatorius,climber_woody,woody,perennial,scraped from online flora: species
Abrus precatorius,climber_woody,woody,perennial,scraped from online flora: species
Abutilon amplum,shrub,woody,perennial,scraped from online flora: species - WA
Abutilon auritum,shrub,semi_woody,perennial,scraped from online flora: species
Abutilon calliphyllum,shrub,woody,perennial,scraped from online flora: species - NSW
Abutilon cryptopetalum,herb shrub subshrub,herbaceous woody,biennial perennial,scraped from online flora: species
Abutilon cunninghamii,shrub,woody,perennial,scraped from online flora: species
Abutilon fraseri subsp. diplotrichum,herb,herbaceous,perennial,scraped from online flora - applied species value to infraspecific taxon: species - Vic
Abutilon fraseri subsp. fraseri,herb shrub subshrub,herbaceous woody,perennial,scraped from online flora: species - WA
Abutilon fraseri,herb shrub subshrub,herbaceous woody,biennial perennial,scraped from online flora: species
Abutilon geranioides,shrub,woody,perennial,scraped from online flora: species - WA
Abutilon grandifolium,shrub,woody,perennial,scraped from online flora: species
Abutilon guineense,herb,herbaceous,annual biennial short_lived_perennial,website - well referenced material: species - www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242300180
Abutilon halophilum,shrub subshrub,woody,perennial,scraped from online flora: species
Abutilon hannii subsp. prostrate (P.K.Latz 427),shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon hannii,shrub,woody,annual perennial,scraped from online flora: species
Abutilon indicum subsp. albescens,shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon indicum var. australiense,shrub,woody,perennial,scraped from online flora: species - WA
Abutilon indicum,shrub,woody,perennial,scraped from online flora: species
Abutilon julianae,subshrub,woody,perennial,scraped from online flora: species
Abutilon lepidum,shrub,woody,perennial,scraped from online flora: species
Abutilon leucopetalum,shrub,woody,perennial,scraped from online flora: species
Abutilon listeri,shrub,woody,perennial,scraped from online flora: species
Abutilon macrum,shrub,woody,perennial,scraped from online flora: species
Abutilon malvifolium,shrub,woody,annual perennial short_lived_perennial,scraped from online flora: species
Abutilon micropetalum,shrub,woody,perennial,scraped from online flora: species
Abutilon otocarpum,shrub,woody,perennial,scraped from online flora: species
Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),shrub,woody,perennial,scraped from online flora: species
Abutilon oxycarpum var. incanum,herb,herbaceous,annual,scraped from online flora - applied species value to infraspecific taxon: species - annual
Abutilon oxycarpum var. oxycarpum,shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon oxycarpum var. subsagittatum,shrub,woody,perennial,scraped from online flora: species
Abutilon oxycarpum,shrub,woody,perennial,scraped from online flora: species
Abutilon persicum,shrub,woody,perennial,website - well referenced material: species - Wikipedia
Abutilon pictum,shrub tree,woody,perennial,scraped from online flora: species
Abutilon sp. Cape Range (A.S.George 1312),shrub,woody,perennial,scraped from online flora: species - WA
Abutilon sp. Dioicum (A.A.Mitchell PRP 1618),shrub,woody,perennial,scraped from online flora: species - WA
Abutilon sp. Hamelin (A.M.Ashby 2196),shrub,woody,perennial,scraped from online flora: species - WA
Abutilon sp. Mataranka (R.M.Barker 877),shrub,woody,perennial,AusTraits value - usually for genus sp. or phrase names: *AusTraits plant_growth_form value
Abutilon sp. Onslow (F.Smith s.n. 10/09/1961),herb,herbaceous woody,perennial,scraped from online flora: species
Abutilon sp. Pilbara (W.R.Barker 2025),herb shrub,woody,perennial,scraped from online flora: species
Abutilon sp. Pritzelianum (S.van Leeuwen 5095),shrub,woody,perennial,scraped from online flora: species - WA
Abutilon sp. Quobba (H.Demarz 3858),shrub,woody,perennial,scraped from online flora: species - WA
Abutilon sp. Warburton (A.S.George 8164),shrub,woody,perennial,scraped from online flora: species - WA
Abutilon subviscosum,shrub,woody,perennial,"Print book: species - Southeast Queensland Flora, volume 2"
Abutilon theophrasti,herb shrub,herbaceous semi_woody,annual,scraped from online flora: species
Abutilon tubulosum var. breviflorum,shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon tubulosum var. tubulosum,shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon tubulosum,shrub,woody,perennial,scraped from online flora: species
Abutilon x hybridum,shrub,woody,perennial,website - without source references or incompletely referenced: species - horticultural websites
Acacia abbatiana,shrub,woody,perennial,scraped from online flora: species
Acacia abbreviata,shrub,woody,perennial,scraped from online flora: species
Acacia abrupta,shrub,woody,perennial,scraped from online flora: species
Acacia acanthaster,shrub,woody,perennial,scraped from online flora: species
Acacia acanthoclada subsp. acanthoclada,shrub,woody,perennial,scraped from online flora: species
Acacia acanthoclada subsp. glaucescens,shrub,woody,perennial,scraped from online flora: species
Acacia acanthoclada,shrub,woody,perennial,scraped from online flora: species
Acacia acellerata,shrub,woody,perennial,scraped from online flora: species
Acacia acinacea,shrub,woody,perennial,scraped from online flora: species
Acacia aciphylla,shrub,woody,perennial,scraped from online flora: species
Acacia acoma,shrub,woody,perennial,scraped from online flora: species
Acacia acradenia,shrub,woody,perennial,scraped from online flora: species
Acacia acrionastes,shrub tree,woody,perennial,scraped from online flora: species
Acacia acuaria,shrub,woody,perennial,scraped from online flora: species
Acacia aculeatissima,shrub,woody,perennial,scraped from online flora: species
Acacia aculeiformis,shrub,woody,perennial,scraped from online flora: species
Acacia acuminata,shrub tree,woody,perennial,scraped from online flora: species
Acacia acutata,shrub,woody,perennial,scraped from online flora: species
Acacia adenogonia,shrub,woody,perennial,scraped from online flora: species
Acacia adinophylla,shrub,woody,perennial,scraped from online flora: species
Acacia adjutrices,subshrub,woody,perennial,scraped from online flora: species
Acacia adnata,shrub,woody,perennial,scraped from online flora: species
Acacia adoxa var. adoxa x Acacia spondylophylla,shrub,woody,perennial,scraped from online flora - applied genus value to individual species: genus - FoA
Acacia adoxa var. adoxa,shrub,woody,perennial,scraped from online flora: species
Acacia adoxa var. subglabra,shrub,woody,perennial,scraped from online flora: species
Acacia adoxa,shrub,woody,perennial,scraped from online flora: species
Acacia adsurgens x Acacia rhodophloia,shrub,woody,perennial,scraped from online flora - applied genus value to individual species: genus - FoA
Acacia adsurgens,shrub,woody,perennial,scraped from online flora: species
Acacia adunca,shrub tree,woody,perennial,scraped from online flora: species
Acacia aemula subsp. aemula,subshrub,woody,perennial,scraped from online flora: species
Acacia aemula subsp. muricata,subshrub,woody,perennial,scraped from online flora: species
Acacia aemula,subshrub,woody,perennial,scraped from online flora: species
Acacia aestivalis,shrub tree,woody,perennial,scraped from online flora: species
Acacia alata var. alata,shrub,woody,perennial,scraped from online flora: species
Acacia alata var. biglandulosa,shrub,woody,perennial,scraped from online flora: species
Acacia alata var. platyptera,shrub,woody,perennial,scraped from online flora: species
Acacia alata var. tetrantha,shrub,woody,perennial,scraped from online flora: species
Acacia alata,shrub,woody,perennial,scraped from online flora: species
Acacia alaticaulis,shrub tree,woody,perennial,scraped from online flora: species
Acacia alcockii,shrub tree,woody,perennial,scraped from online flora: species
Acacia alexandri,shrub,woody,perennial,scraped from online flora: species
Acacia alleniana,shrub tree,woody,perennial,scraped from online flora: species
Acacia alpina,shrub,woody,perennial,scraped from online flora: species
Acacia amanda,shrub,woody,perennial,scraped from online flora: species
Acacia amblygona,shrub,woody,perennial,scraped from online flora: species
Acacia amblyophylla,shrub,woody,perennial,scraped from online flora: species
Acacia amentifera,shrub,woody,perennial,scraped from online flora: species
Acacia ammobia,shrub tree,woody,perennial,scraped from online flora: species
Acacia ammophila,tree,woody,perennial,scraped from online flora: species
Acacia amoena,shrub,woody,perennial,scraped from online flora: species
Acacia ampliata,shrub tree,woody,perennial,scraped from online flora: species
Acacia ampliceps x Acacia bivenosa,shrub tree,woody,perennial,scraped from online flora - applied genus value to individual species: genus - FoA
Acacia ampliceps x Acacia sclerosperma subsp. sclerosperma,shrub tree,woody,perennial,scraped from online flora - applied genus value to individual species: genus - FoA
Acacia ampliceps,shrub tree,woody,perennial,scraped from online flora: species
Acacia amputata,subshrub,woody,perennial,scraped from online flora: species
Acacia amyctica,shrub,woody,perennial,scraped from online flora: species
Acacia anarthros,subshrub,woody,perennial,scraped from online flora: species
Acacia anasilla,shrub,woody,perennial,scraped from online flora: species
Acacia anastema,tree,woody,perennial,scraped from online flora: species
Acacia anastomosa,shrub,woody,perennial,"taxon revision; taxonomic species description: species - Maslin 2013, Nuytsia 23: 543–587"
Acacia anaticeps,tree,woody,perennial,scraped from online flora: species
Acacia anceps,shrub,woody,perennial,scraped from online flora: species
Acacia ancistrocarpa x Acacia citrinoviridis,shrub,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia ancistrocarpa,shrub,woody,perennial,scraped from online flora: species
Acacia ancistrophylla var. ancistrophylla,shrub,woody,perennial,scraped from online flora: species
Acacia ancistrophylla var. lissophylla,shrub,woody,perennial,scraped from online flora: species
Acacia ancistrophylla var. perarcuata,shrub,woody,perennial,scraped from online flora: species
Acacia ancistrophylla,shrub,woody,perennial,scraped from online flora: species
Acacia andrewsii,shrub,woody,perennial,scraped from online flora: species
Acacia aneura var. aneura,shrub tree,woody,perennial,scraped from online flora: species
Acacia aneura var. major,tree,woody,perennial,scraped from online flora: species
Acacia aneura,shrub tree,woody,perennial,scraped from online flora: species
Acacia anfractuosa,shrub tree,woody,perennial,scraped from online flora: species
Acacia angusta,shrub tree,woody,perennial,scraped from online flora: species
Acacia anomala,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia anserina,shrub,woody,perennial,"taxon revision; taxonomic species description: species - Maslin 2013, Nuytsia 23: 543–587"
Acacia anthochaera,shrub tree,woody,perennial,scraped from online flora: species
Acacia aphanoclada x Acacia pyrifolia var. pyrifolia,shrub,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia aphanoclada,shrub,woody,perennial,scraped from online flora: species
Acacia aphylla,shrub,woody,perennial,scraped from online flora: species
Acacia applanata,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia aprepta,tree,woody,perennial,scraped from online flora: species
Acacia aprica,shrub,woody,perennial,scraped from online flora: species
Acacia aptaneura,tree,woody,perennial,scraped from online flora: species
Acacia arafurica,shrub tree,woody,perennial,scraped from online flora: species
Acacia araneosa,tree,woody,perennial,scraped from online flora: species
Acacia arbiana,shrub,woody,perennial,scraped from online flora: species
Acacia arcuatilis,shrub,woody,perennial,scraped from online flora: species
Acacia areolata,shrub tree,woody,perennial,scraped from online flora: species
Acacia argentina,shrub,woody,perennial,scraped from online flora: species
Acacia argutifolia,shrub,woody,perennial,scraped from online flora: species
Acacia argyraea,shrub tree,woody,perennial,scraped from online flora: species
Acacia argyrodendron,tree,woody,perennial,scraped from online flora: species
Acacia argyrophylla,shrub,woody,perennial,scraped from online flora: species
Acacia argyrotricha,shrub,woody,perennial,scraped from online flora: species
Acacia arida,shrub,woody,perennial,scraped from online flora: species
Acacia aristulata,shrub,woody,perennial,scraped from online flora: species
Acacia armillata,tree,woody,perennial,scraped from online flora: species
Acacia armitii,shrub tree,woody,perennial,scraped from online flora: species
Acacia arrecta,shrub,woody,perennial,scraped from online flora: species
Acacia ascendens,shrub,woody,perennial,scraped from online flora: species
Acacia asepala,shrub,woody,perennial,scraped from online flora: species
Acacia ashbyae,shrub,woody,perennial,scraped from online flora: species
Acacia asparagoides,shrub,woody,perennial,scraped from online flora: species
Acacia aspera subsp. aspera,shrub,woody,perennial,scraped from online flora: species
Acacia aspera subsp. parviceps,shrub,woody,perennial,scraped from online flora: species
Acacia aspera,shrub,woody,perennial,scraped from online flora: species
Acacia asperulacea,shrub,woody,perennial,scraped from online flora: species
Acacia assimilis subsp. assimilis,shrub tree,woody,perennial,scraped from online flora: species
Acacia assimilis subsp. atroviridis,shrub tree,woody,perennial,scraped from online flora: species
Acacia assimilis,shrub tree,woody,perennial,scraped from online flora: species
Acacia ataxiphylla subsp. ataxiphylla,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia ataxiphylla subsp. magna,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia ataxiphylla,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia atkinsiana,shrub,woody,perennial,scraped from online flora: species
Acacia atopa,tree,woody,perennial,scraped from online flora: species
Acacia atrox subsp. atrox,shrub,woody,perennial,scraped from online flora: species
Acacia atrox subsp. planitiicola,shrub tree,woody,perennial,scraped from online flora: species
Acacia atrox,shrub tree,woody,perennial,scraped from online flora: species
Acacia attenuata,shrub,woody,perennial,scraped from online flora: species
Acacia aulacocarpa x Acacia celsa,shrub tree,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia aulacocarpa x Acacia disparrima,shrub tree,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia aulacocarpa,shrub tree,woody,perennial,scraped from online flora: species
Acacia aulacophylla,shrub,woody,perennial,scraped from online flora: species
Acacia auratiflora,shrub,woody,perennial,scraped from online flora: species
Acacia aureocrinita,shrub,woody,perennial,scraped from online flora: species
Acacia auricoma,shrub,woody,perennial,scraped from online flora: species
Acacia auriculiformis,tree,woody,perennial,scraped from online flora: species
Acacia auripila,tree,woody,perennial,scraped from online flora: species
Acacia auronitens,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia ausfeldii,shrub tree,woody,perennial,scraped from online flora: species
Acacia awestoniana,shrub,woody,perennial,scraped from online flora: species
Acacia axillaris,shrub,woody,perennial,scraped from online flora: species
Acacia ayersiana,shrub tree,woody,perennial,scraped from online flora: species
Acacia baeuerlenii,shrub,woody,perennial,scraped from online flora: species
Acacia baileyana,shrub tree,woody,perennial,scraped from online flora: species
Acacia bakeri,tree,woody,perennial,scraped from online flora: species
Acacia balsamea,shrub tree,woody,perennial,scraped from online flora: species
Acacia bancroftiorum,shrub tree,woody,perennial,scraped from online flora: species
Acacia barakulensis,shrub,woody,perennial,scraped from online flora: species
Acacia barattensis,shrub,woody,perennial,scraped from online flora: species
Acacia barbinervis subsp. barbinervis,shrub,woody,perennial,scraped from online flora: species
Acacia barbinervis subsp. borealis,shrub,woody,perennial,scraped from online flora: species
Acacia barbinervis,shrub,woody,perennial,scraped from online flora: species
Acacia barrettiorum,shrub,woody,perennial,scraped from online flora: species
Acacia barringtonensis,shrub,woody,perennial,scraped from online flora: species
Acacia bartlei,shrub tree,woody,perennial,scraped from online flora: species
Acacia basedowii,shrub,woody,perennial,scraped from online flora: species
Acacia baueri subsp. aspera,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia baueri subsp. baueri,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia baueri,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia baxteri,shrub,woody,perennial,scraped from online flora: species
Acacia beadleana,shrub,woody,perennial,scraped from online flora: species
Acacia beauverdiana,shrub tree,woody,perennial,scraped from online flora: species
Acacia beckleri subsp. beckleri,shrub,woody,perennial,scraped from online flora: species
Acacia beckleri subsp. megaspherica,shrub,woody,perennial,scraped from online flora: species
Acacia beckleri,shrub,woody,perennial,scraped from online flora: species
Acacia benthamii,shrub,woody,perennial,scraped from online flora: species
Acacia besleyi,shrub,woody,perennial,scraped from online flora: species
Acacia betchei,shrub tree,woody,perennial,scraped from online flora: species
Acacia bidentata,shrub,woody,perennial,scraped from online flora: species
Acacia bifaria,shrub tree,woody,perennial,scraped from online flora: species
Acacia biflora,shrub,woody,perennial,scraped from online flora: species
Acacia binata,shrub,woody,perennial,scraped from online flora: species
Acacia binervata,shrub tree,woody,perennial,scraped from online flora: species
Acacia binervia,shrub tree,woody,perennial,scraped from online flora: species
Acacia bivenosa x Acacia sclerosperma subsp. sclerosperma,shrub,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia bivenosa,shrub,woody,perennial,scraped from online flora: species
Acacia blakei subsp. blakei,tree,woody,perennial,scraped from online flora: species
Acacia blakei subsp. diphylla,tree,woody,perennial,scraped from online flora: species
Acacia blakei,shrub tree,woody,perennial,scraped from online flora: species
Acacia blakelyi,shrub tree,woody,perennial,scraped from online flora: species
Acacia blaxellii,shrub,woody,perennial,scraped from online flora: species
Acacia blayana,tree,woody,perennial,scraped from online flora: species
Acacia boormanii subsp. boormanii,shrub,woody,perennial,scraped from online flora: species
Acacia boormanii subsp. gibba,shrub,woody,perennial,scraped from online flora: species
Acacia boormanii,shrub,woody,perennial,scraped from online flora: species
Acacia botrydion,shrub,woody,perennial,scraped from online flora: species
Acacia brachybotrya,shrub,woody,perennial,scraped from online flora: species
Acacia brachyclada,shrub,woody,perennial,scraped from online flora: species
Acacia brachyphylla var. brachyphylla,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia brachyphylla var. recurvata,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia brachyphylla,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia brachypoda,shrub,woody,perennial,scraped from online flora: species
Acacia brachystachya,shrub tree,woody,perennial,scraped from online flora: species
Acacia bracteolata,shrub,woody,perennial,scraped from online flora: species
Acacia brassii,tree,woody,perennial,scraped from online flora: species
Acacia brockii,tree,woody,perennial,scraped from online flora: species
Acacia bromilowiana,shrub tree,woody,perennial,scraped from online flora: species
Acacia browniana var. browniana,shrub,woody,perennial,scraped from online flora: species
Acacia browniana var. endlicheri,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia browniana var. glaucescens,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia browniana var. intermedia,shrub,woody,perennial,scraped from online flora: species
Acacia browniana var. obscura,shrub,woody,perennial,scraped from online flora: species
Acacia browniana,shrub,woody,perennial,scraped from online flora: species
Acacia brownii,shrub,woody,perennial,scraped from online flora: species
Acacia brumalis,shrub tree,woody,perennial,scraped from online flora: species
Acacia brunioides subsp. brunioides,shrub,woody,perennial,scraped from online flora: species
Acacia brunioides subsp. granitica,shrub,woody,perennial,scraped from online flora: species
Acacia brunioides,shrub,woody,perennial,scraped from online flora: species
Acacia bulgaensis,shrub tree,woody,perennial,scraped from online flora: species
Acacia burbidgeae,shrub,woody,perennial,scraped from online flora: species
Acacia burdekensis,shrub tree,woody,perennial,scraped from online flora: species
Acacia burkittii,shrub tree,woody,perennial,scraped from online flora: species
Acacia burrana,shrub,woody,perennial,scraped from online flora: species
Acacia burrowii,tree,woody,perennial,scraped from online flora: species
Acacia burrowsiana,shrub tree,woody,perennial,scraped from online flora: species
Acacia buxifolia subsp. buxifolia,shrub,woody,perennial,scraped from online flora: species
Acacia buxifolia subsp. pubiflora,shrub,woody,perennial,scraped from online flora: species
Acacia buxifolia,shrub,woody,perennial,scraped from online flora: species
Acacia bynoeana,shrub,woody,perennial,scraped from online flora: species
Acacia caerulescens,shrub tree,woody,perennial,scraped from online flora: species
Acacia caesaneura,shrub tree,woody,perennial,scraped from online flora: species
Acacia caesariata,shrub,woody,perennial,scraped from online flora: species
Acacia caesiella,mallee shrub,woody,perennial,scraped from online flora: species
Acacia calamifolia,shrub,woody,perennial,scraped from online flora: species
Acacia calantha,shrub,woody,perennial,scraped from online flora: species
Acacia calcarata,shrub,woody,perennial,scraped from online flora: species
Acacia calcicola,shrub tree,woody,perennial,scraped from online flora: species
Acacia calligera,shrub,woody,perennial,scraped from online flora: species
Acacia calyculata,shrub,woody,perennial,scraped from online flora: species
Acacia cambagei,tree,woody,perennial,scraped from online flora: species
Acacia camptocarpa,subshrub,woody,perennial,"taxon revision; taxonomic species description: species - Maslin 2013, Nuytsia 23: 543–587"
Acacia camptoclada,shrub,woody,perennial,scraped from online flora: species
Acacia campylophylla,shrub,woody,perennial,scraped from online flora: species
Acacia cana,shrub tree,woody,perennial,scraped from online flora: species
Acacia cangaiensis,shrub tree,woody,perennial,scraped from online flora: species
Acacia capillaris,shrub,woody,perennial,scraped from online flora: species
Acacia cardiophylla,shrub tree,woody,perennial,scraped from online flora: species
Acacia carens,shrub,woody,perennial,scraped from online flora: species
Acacia carneorum,shrub tree,woody,perennial,scraped from online flora: species
Acacia carnosula,shrub,woody,perennial,scraped from online flora: species
Acacia caroleae,shrub tree,woody,perennial,scraped from online flora: species
Acacia cassicula,shrub,woody,perennial,scraped from online flora: species
Acacia castanostegia,shrub,woody,perennial,scraped from online flora: species
Acacia cataractae,shrub,woody,perennial,scraped from online flora: species
Acacia catenulata subsp. catenulata,tree,woody,perennial,scraped from online flora: species
Acacia catenulata subsp. occidentalis,tree,woody,perennial,scraped from online flora: species
Acacia catenulata,tree,woody,perennial,scraped from online flora: species
Acacia cavealis,shrub,woody,perennial,scraped from online flora: species
Acacia cedroides,shrub,woody,perennial,scraped from online flora: species
Acacia celastrifolia,shrub,woody,perennial,scraped from online flora: species
Acacia celsa,tree,woody,perennial,scraped from online flora: species
Acacia centrinervia,shrub,woody,perennial,scraped from online flora: species
Acacia cerastes,shrub,woody,perennial,scraped from online flora: species
Acacia chalkeri,shrub,woody,perennial,scraped from online flora: species
Acacia chamaeleon,shrub tree,woody,perennial,scraped from online flora: species
Acacia chapmanii subsp. australis,shrub,woody,perennial,scraped from online flora: species
Acacia chapmanii subsp. chapmanii,shrub,woody,perennial,scraped from online flora: species
Acacia chapmanii,shrub,woody,perennial,scraped from online flora: species
Acacia chartacea,shrub tree,woody,perennial,scraped from online flora: species
Acacia cheelii,shrub tree,woody,perennial,scraped from online flora: species
Acacia chinchillensis,shrub,woody,perennial,scraped from online flora: species
Acacia chippendalei,shrub,woody,perennial,scraped from online flora: species
Acacia chisholmii x Acacia monticola,shrub,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia chisholmii,shrub,woody,perennial,scraped from online flora: species
Acacia chrysella,shrub,woody,perennial,scraped from online flora: species
Acacia chrysocephala,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia chrysochaeta,shrub,woody,perennial,scraped from online flora: species
Acacia chrysopoda,shrub,woody,perennial,scraped from online flora: species
Acacia chrysotricha,tree,woody,perennial,scraped from online flora: species
Acacia cincinnata,shrub tree,woody,perennial,scraped from online flora: species
Acacia citrinoviridis x Acacia tumida var. pilbarensis,shrub tree,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Acacia citrinoviridis,shrub tree,woody,perennial,scraped from online flora: species
Acacia citriodora,shrub,woody,perennial,scraped from online flora: species
Acacia clandullensis,shrub,woody,perennial,scraped from online flora: species
Acacia claviseta,shrub,woody,perennial,"taxon revision; taxonomic species description: species - Maslin 2013, Nuytsia 23: 543–587"
Acacia clelandii,shrub,woody,perennial,scraped from online flora: species
Acacia clunies-rossiae,shrub tree,woody,perennial,scraped from online flora: species
Acacia clydonophora,shrub,woody,perennial,scraped from online flora: species
Acacia coatesii,subshrub,woody,perennial,"taxon revision; taxonomic species description: species - Maslin 2014, Nuytsia 24: 139-159"
Acacia cochlearis,shrub,woody,perennial,scraped from online flora: species
Acacia cochlocarpa subsp. cochlocarpa,shrub,woody,perennial,scraped from online flora: species
Acacia cochlocarpa subsp. velutinosa,shrub,woody,perennial,scraped from online flora: species
Acacia cochlocarpa,shrub,woody,perennial,scraped from online flora: species
Acacia cockertoniana,shrub tree,woody,perennial,scraped from online flora: species
Acacia cognata,shrub tree,woody,perennial,scraped from online flora: species
Acacia colei var. colei,shrub tree,woody,perennial,scraped from online flora: species
Acacia colei var. ileocarpa,shrub tree,woody,perennial,scraped from online flora: species
Acacia colei,shrub tree,woody,perennial,scraped from online flora: species
Acacia collegialis,shrub tree,woody,perennial,scraped from online flora: species
Acacia colletioides,shrub tree,woody,perennial,scraped from online flora: species
Acacia comans,shrub,woody,perennial,scraped from online flora: species
Acacia complanata,shrub tree,woody,perennial,scraped from online flora: species
Acacia concolorans,shrub subshrub,woody,perennial,scraped from online flora: species
Acacia concurrens,shrub tree,woody,perennial,scraped from online flora: species
Acacia conferta,shrub tree,woody,perennial,scraped from online flora: species
Acacia confluens,shrub,woody,perennial,scraped from online flora: species
Acacia congesta subsp. cliftoniana,shrub,woody,perennial,scraped from online flora: species
Acacia congesta subsp. congesta,shrub,woody,perennial,scraped from online flora: species
Acacia congesta subsp. wonganensis,shrub,woody,perennial,scraped from online flora: species
Acacia congesta,shrub,woody,perennial,scraped from online flora: species
Acacia conjunctifolia,shrub,woody,perennial,scraped from online flora: species
Acacia conniana,shrub,woody,perennial,scraped from online flora: species
Acacia consanguinea,shrub,woody,perennial,scraped from online flora: species
Acacia consobrina,shrub,woody,perennial,scraped from online flora: species
Acacia conspersa,shrub tree,woody,perennial,scraped from online flora: species
Acacia constablei,shrub,woody,perennial,scraped from online flora: species
Acacia continua,shrub,woody,perennial,scraped from online flora: species
Acacia convallium,tree,woody,perennial,scraped from online flora: species
Acacia coolgardiensis,shrub tree,woody,perennial,scraped from online flora: species
Acacia coriacea subsp. coriacea,shrub tree,woody,perennial,scraped from online flora: species
Acacia coriacea subsp. pendens,shrub tree,woody,perennial,scraped from online flora: species
Acacia coriacea,shrub tree,woody,perennial,scraped from online flora: species
Acacia costata,shrub,woody,perennial,scraped from online flora: species
Acacia costiniana,shrub,woody,perennial,scraped from online flora: species
Acacia courtii,shrub tree,woody,perennial,scraped from online flora: species
Acacia covenyi,shrub tree,woody,perennial,scraped from online flora: species
Acacia cowaniana,shrub tree,woody,perennial,scraped from online flora: species
Acacia cowleana x Acacia elachantha,shrub tree,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia cowleana x Acacia hammondii,shrub tree,woody,perennial,"scraped from online flora - applied consensus species value to hybrid, graded, or uncertain taxa: species - hybrid"
Acacia cowleana,shrub tree,woody,perennial,scraped from online flora: species
Acacia cracentis,shrub,woody,perennial,scraped from online flora: species
Acacia craspedocarpa,shrub tree,woody,perennial,scraped from online flora: species
