species_binom,Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG
Histiopteris_incisa,981,Smith_1996,Dennstaedtiaceae,Histiopteris,herbaceous,long,0,AM,-41.3333333,147.75,34.129,2.061,NA,16.55943717,NA,NA,-41.3333333147.75
Histiopteris_incisa,983,Smith_1996,Dennstaedtiaceae,Histiopteris,herbaceous,long,0,AM,-42.9166667,146.4333333,36.913,2.832,NA,13.03425141,NA,NA,-42.9166667146.4333333
Hymenophyllum_australe,2447,Smith_1996,Hymenophyllaceae,Hymenophyllum,herbaceous,long,0,AM,-42.9166667,146.4333333,18.264,1.1,NA,16.60363636,NA,NA,-42.9166667146.4333333
Hymenophyllum_peltatum,2440,Smith_1996,Hymenophyllaceae,Hymenophyllum,herbaceous,long,0,AM,-41.15,144.9833333,9.242,0.854,NA,10.82201405,NA,NA,-41.15144.9833333
Hymenophyllum_peltatum,2441,Smith_1996,Hymenophyllaceae,Hymenophyllum,herbaceous,long,0,AM,-41.3333333,147.75,10.456,0.733,NA,14.26466576,NA,NA,-41.3333333147.75
Hymenophyllum_peltatum,2446,Smith_1996,Hymenophyllaceae,Hymenophyllum,herbaceous,long,0,AM,-42.9166667,146.4333333,13.308,1.161,NA,11.4625323,NA,NA,-42.9166667146.4333333
Hymenophyllum_rarum,2443,Smith_1996,Hymenophyllaceae,Hymenophyllum,herbaceous,long,0,AM,-41.3333333,147.75,11.545,0.9,NA,12.82777778,NA,NA,-41.3333333147.75
Hymenophyllum_rarum,2444,Smith_1996,Hymenophyllaceae,Hymenophyllum,herbaceous,long,0,AM,-41.15,144.9833333,11.926,0.451,NA,26.44345898,NA,NA,-41.15144.9833333
Hymenophyllum_rarum,2445,Smith_1996,Hymenophyllaceae,Hymenophyllum,herbaceous,long,0,AM,-42.9166667,146.4333333,12.798,0.933,NA,13.7170418,NA,NA,-42.9166667146.4333333
Hypolepis_rugosula,977,Smith_1996,Dennstaedtiaceae,Hypolepis,herbaceous,long,0,AM,-41.15,144.9833333,19.444,1.366,NA,14.23426061,NA,NA,-41.15144.9833333
Hypolepis_rugosula,979,Smith_1996,Dennstaedtiaceae,Hypolepis,herbaceous,long,0,AM,-41.3333333,147.75,30.32,2.568,NA,11.80685358,NA,NA,-41.3333333147.75
Hypolepis_rugosula,982,Smith_1996,Dennstaedtiaceae,Hypolepis,herbaceous,long,0,AM,-42.9166667,146.4333333,34.458,2.104,NA,16.37737643,NA,NA,-42.9166667146.4333333
Notogrammitis_billardierei,6523,Smith_1996,Polypodiaceae,Notogrammitis,herbaceous,long,0,uncertain,-42.9166667,146.4333333,11.143,0.702,NA,15.87321937,NA,NA,-42.9166667146.4333333
Notogrammitis_billardierei,6525,Smith_1996,Polypodiaceae,Notogrammitis,herbaceous,long,0,uncertain,-41.15,144.9833333,12.356,0.71,NA,17.4028169,NA,NA,-41.15144.9833333
Notogrammitis_billardierei,6526,Smith_1996,Polypodiaceae,Notogrammitis,herbaceous,long,0,uncertain,-41.3333333,147.75,15.885,1.081,NA,14.6947271,NA,NA,-41.3333333147.75
Polyphlebium_venosum,2439,Smith_1996,Hymenophyllaceae,Polyphlebium,herbaceous,long,0,AM,-30.5,152.4166667,4.841,2.095,NA,2.310739857,NA,NA,-30.5152.4166667
Polystichum_proliferum,1046,Smith_1996,Dryopteridaceae,Polystichum,herbaceous,long,0,AM,-42.9166667,146.4333333,15,1.12,NA,13.39285714,NA,NA,-42.9166667146.4333333
Pyrrosia_rupestris,6522,Smith_1996,Polypodiaceae,Pyrrosia,herbaceous,long,0,NM-AM,-30.5,152.4166667,10.212,1.682,NA,6.071343639,NA,NA,-30.5152.4166667
Gahnia_grandis,973,Smith_1996,Cyperaceae,Gahnia,herbaceous,long,0,NM-AM,-41.3333333,147.75,7.139,0.455,NA,15.69010989,NA,NA,-41.3333333147.75
Drymophila_cyanocarpa,2702,Smith_1996,Luzuriagaceae,Drymophila,herbaceous,long,0,AM,-41.3333333,147.75,33.899,1.973,NA,17.18144957,NA,NA,-41.3333333147.75
Lomandra_longifolia,352,Smith_1996,Asparagaceae,Lomandra,herbaceous,long,0,NM-AM,-32.1166667,151.4166667,9.915,0.838,NA,11.83174224,NA,NA,-32.1166667151.4166667
Synoum_glandulosum,2886,Smith_1996,Meliaceae,Synoum,herbaceous,long,0,AM,-32.1166667,151.4166667,18.437,2.427,NA,7.596621343,NA,NA,-32.1166667151.4166667
Synoum_glandulosum,2887,Smith_1996,Meliaceae,Synoum,herbaceous,long,0,AM,-32.1166667,151.4166667,20.745,1.83,NA,11.33606557,NA,NA,-32.1166667151.4166667
Asplenium_bulbiferum,355,Smith_1996,Aspleniaceae,Asplenium,herbaceous,long,0,NM-AM,-41.15,144.9833333,9.234,1.128,NA,8.186170213,NA,NA,-41.15144.9833333
Hydrocotyle_pedicellosa,290,Smith_1996,Araliaceae,Hydrocotyle,herbaceous,long,0,AM,-30.5,152.4166667,25.519,2.108,NA,12.10578748,NA,NA,-30.5152.4166667
Bothriochloa_ewartiana,6401,Schmidt_2010,Poaceae,Bothriochloa,herbaceous,long,0,AM,-23.51,146.52,9.686,1.088902148,412.964,8.895197808,42.63514351,379.2480351,-23.51146.52
Cenchrus_ciliaris,6404,Schmidt_2010,Poaceae,Cenchrus,herbaceous,long,0,AM,-23.51,146.52,26.887,2.871535181,379.939,9.363284203,14.13095548,132.3121522,-23.51146.52
Cenchrus_ciliaris,6403,Schmidt_2010,Poaceae,Cenchrus,herbaceous,long,0,AM,-23.51,146.52,24.714,3.711985472,370.63,6.657892437,14.99676297,99.84683475,-23.51146.52
Cenchrus_ciliaris,6435,Schmidt_2010,Poaceae,Cenchrus,herbaceous,long,0,AM,-23.87,146.12,21.208,2.088780391,381.07,10.15329332,17.96821954,182.4366035,-23.87146.12
