"","Unique_ID","dataset_id","family","genus","species_binom","woodiness","reclass_life_history","putative_BNF","myc_type","AM","EcM","ErM","NM","lat_deg","long_deg","leaf_N_per_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","ln_leaf_N","ln_leaf_P","ln_leaf_C","NP_ratio","CN_ratio","CP_ratio","ln_NP_ratio","ln_CN_ratio","ln_CP_ratio","SE_N","SE_P","SE_C","CV_N_sp","CV_P_sp","CV_C_sp","sd_ln_NP_sp","sd_ln_CN_sp","sd_ln_CP_sp","CV_N_gen","CV_P_gen","CV_C_gen","sd_lnNP_gen","sd_lnCN_gen","sd_lnCP_gen","CV_N_fam","CV_P_fam","CV_C_fam","sd_lnNP_fam","sd_lnCN_fam","sd_lnCP_fam","SE_ln_NP_sp","SE_ln_CN_sp","SE_ln_CP_sp","SN_total_0_30","SP_total_0_30","SOC_total_0_30","CEC_total_0_30","AP_total_0_30","NPP","MAT","PPT","AET","precipitation_seasonality","temp_seasonality"
"11",1308,"Bloomfield_2018","Fabaceae","Acacia","Acacia_dealbata","1","long","1","EcM-AM","1","1","0","0",-43.095,146.65,12.764,0.294,NA,2.546628708416,-1.22417551164346,NA,43.41496599,NA,NA,3.7708042201425,NA,NA,2.37453695047406,0.181426244857883,NA,0.318523762949223,0.687488365914934,NA,0.398586491619953,NA,NA,0.252160542648295,0.522228321372748,0.0709151008851098,0.405503326929295,0.302133620844829,0.462796691415668,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.115062009116064,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"12",1309,"Bloomfield_2018","Fabaceae","Acacia","Acacia_dealbata","1","long","1","EcM-AM","1","1","0","0",-43.095,146.65,41.3,2.685,NA,3.72086249996699,0.987680727960828,NA,15.38175047,NA,NA,2.73318177229551,NA,NA,2.37453695047406,0.181426244857883,NA,0.318523762949223,0.687488365914934,NA,0.398586491619953,NA,NA,0.252160542648295,0.522228321372748,0.0709151008851098,0.405503326929295,0.302133620844829,0.462796691415668,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.115062009116064,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"13",1301,"Bloomfield_2018","Fabaceae","Acacia","Acacia_melanoxylon","1","long","1","EcM-AM","1","1","0","0",-43.095,146.65,28.496,0.757,NA,3.34976372654731,-0.278392025544688,NA,37.64332893,NA,NA,3.62815575209235,NA,NA,0.553023965226796,0.0359918535629895,NA,0.121555959324756,0.208207861760962,NA,0.208993615135461,NA,NA,0.252160542648295,0.522228321372748,0.0709151008851098,0.405503326929295,0.302133620844829,0.462796691415668,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0426606430484573,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"14",1302,"Bloomfield_2018","Fabaceae","Acacia","Acacia_melanoxylon","1","long","1","EcM-AM","1","1","0","0",-43.095,146.65,23.92,0.586,NA,3.17471492908243,-0.534435489405125,NA,40.81911263,NA,NA,3.70915041853689,NA,NA,0.553023965226796,0.0359918535629895,NA,0.121555959324756,0.208207861760962,NA,0.208993615135461,NA,NA,0.252160542648295,0.522228321372748,0.0709151008851098,0.405503326929295,0.302133620844829,0.462796691415668,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0426606430484573,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"15",1303,"Bloomfield_2018","Fabaceae","Acacia","Acacia_melanoxylon","1","long","1","EcM-AM","1","1","0","0",-43.095,146.65,25.104,0.734,NA,3.22302719599068,-0.309246250367621,NA,34.20163488,NA,NA,3.53227344643478,NA,NA,0.553023965226796,0.0359918535629895,NA,0.121555959324756,0.208207861760962,NA,0.208993615135461,NA,NA,0.252160542648295,0.522228321372748,0.0709151008851098,0.405503326929295,0.302133620844829,0.462796691415668,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0426606430484573,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"16",1304,"Bloomfield_2018","Fabaceae","Acacia","Acacia_melanoxylon","1","long","1","EcM-AM","1","1","0","0",-43.095,146.65,29.087,0.825,NA,3.37029133896627,-0.192371892647456,NA,35.2569697,NA,NA,3.56266323169968,NA,NA,0.553023965226796,0.0359918535629895,NA,0.121555959324756,0.208207861760962,NA,0.208993615135461,NA,NA,0.252160542648295,0.522228321372748,0.0709151008851098,0.405503326929295,0.302133620844829,0.462796691415668,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0426606430484573,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"17",1305,"Bloomfield_2018","Fabaceae","Acacia","Acacia_melanoxylon","1","long","1","EcM-AM","1","1","0","0",-43.095,146.65,19.838,0.496,NA,2.9875992903238,-0.70117935225721,NA,39.99596774,NA,NA,3.68877864253262,NA,NA,0.553023965226796,0.0359918535629895,NA,0.121555959324756,0.208207861760962,NA,0.208993615135461,NA,NA,0.252160542648295,0.522228321372748,0.0709151008851098,0.405503326929295,0.302133620844829,0.462796691415668,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0426606430484573,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"18",463,"Bloomfield_2018","Atherospermataceae","Atherosperma","Atherosperma_moschatum","1","long","0","AM","1","0","0","0",-43.095,146.65,16.491,0.34,NA,2.80281477754663,-1.07880966137193,NA,48.50294118,NA,NA,3.88162443899133,NA,NA,0.767827933108448,0.0618272547430803,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.273415270469716,0.433588363724108,0.0702004033376563,0.434808971654427,0.709204802874781,0.480929824413812,0.0698156102536356,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"19",464,"Bloomfield_2018","Atherospermataceae","Atherosperma","Atherosperma_moschatum","1","long","0","AM","1","0","0","0",-43.095,146.65,20.178,0.486,NA,3.00459290198619,-0.721546655081643,NA,41.51851852,NA,NA,3.72613955710351,NA,NA,0.767827933108448,0.0618272547430803,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.273415270469716,0.433588363724108,0.0702004033376563,0.434808971654427,0.709204802874781,0.480929824413812,0.0698156102536356,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"20",465,"Bloomfield_2018","Atherospermataceae","Atherosperma","Atherosperma_moschatum","1","long","0","AM","1","0","0","0",-43.095,146.65,18.455,0.766,NA,2.91533533648196,-0.266573109241546,NA,24.0926893,NA,NA,3.18190844592941,NA,NA,0.767827933108448,0.0618272547430803,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.273415270469716,0.433588363724108,0.0702004033376563,0.434808971654427,0.709204802874781,0.480929824413812,0.0698156102536356,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
