lat,lon,latlong_unique,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,ETa,NPP,MAT_C,PPT_mm
-24.358,132.936,-24.358132.936,0.031,0.020,0.437,6.605,8.450,0.795,1172.737,22.183,232.133
-22.3468,133.328,-22.3468133.3276,0.030,0.022,0.390,7.453,10.094,0.831,1287.947,22.890,291.105
-17.133,133.329,-17.133133.329,0.040,0.014,0.437,25.431,3.164,1.742,2389.632,26.655,674.590
-17.3775,133.410,-17.3775133.4097,0.041,0.016,0.560,18.940,4.314,1.742,2389.632,26.836,589.567
-24.631,133.452,-24.631133.452,0.027,0.021,0.460,9.034,9.107,0.701,1038.842,22.325,208.190
-22.289,133.613,-22.289133.613,0.034,0.019,0.333,7.311,5.300,0.831,1287.947,23.339,226.914
-22.29,133.616,-22.29133.616,0.028,0.018,0.319,7.187,5.464,0.831,1287.947,23.339,226.914
-17.7417,133.639,-17.7417133.6386,0.039,0.013,0.528,11.448,3.657,1.742,2389.632,26.737,579.133
-23.5169,133.649,-23.5169133.6492,0.031,0.015,0.367,6.816,11.601,0.959,1240.947,21.012,285.805
-14.674,133.845,-14.674133.845,0.055,0.019,0.784,8.563,2.657,1.772,4966.579,27.946,884.148
-25.9,133.897,-25.9133.897,0.031,0.020,0.336,7.666,11.601,0.656,1060.158,21.732,161.176
-24.034,133.972,-24.034133.972,0.030,0.014,0.400,7.230,8.450,0.701,1038.842,21.404,249.833
-21.1453,134.156,-21.1453134.1558,0.030,0.017,0.443,5.752,9.121,0.810,1022.368,24.661,320.138
-20.3511,134.237,-20.3511134.2372,0.032,0.019,0.459,7.538,9.450,1.105,916.368,25.605,283.486
-14.126,134.387,-14.126134.387,0.046,0.018,0.596,4.085,2.493,1.664,5277.737,27.689,853.433
-26.278,134.999,-26.278134.999,0.029,0.027,0.437,14.141,12.421,0.572,877.579,22.714,170.533
-26.088,135.452,-26.088135.452,0.030,0.033,0.464,12.674,13.751,0.679,666.737,23.048,134.676
-24.782,136.010,-24.782136.01,0.024,0.024,0.500,11.712,11.751,0.591,569.053,23.082,122.238
-25.755,136.545,-25.755136.545,0.028,0.018,0.509,14.423,11.094,0.504,537.000,23.345,93.576
-18.786,136.865,-18.786136.865,0.037,0.022,0.469,13.551,6.643,1.497,1811.158,25.980,491.657
-18.906,137.069,-18.906137.069,0.042,0.025,0.497,12.551,6.807,1.364,1811.158,26.070,472.690
-17.896,137.101,-17.896137.101,0.040,0.022,0.623,15.218,7.793,1.521,2944.842,26.459,645.500
-17.355,137.158,-17.355137.158,0.034,0.016,0.672,7.206,3.657,1.521,2944.842,26.111,757.062
-32.321,137.954,-32.321137.954,0.061,0.017,0.764,6.726,17.834,0.738,1892.526,17.360,364.343
-32.829,138.033,-32.829138.033,0.065,0.018,1.086,11.146,16.546,0.763,2060.474,17.916,376.395
-35.608,138.261,-35.608138.261,0.114,0.012,2.119,6.839,12.932,1.648,8294.579,14.913,770.181
-31.315,138.566,-31.315138.566,0.060,0.027,0.827,11.317,26.642,1.362,1242.526,17.938,276.562
-35.272,138.690,-35.272138.69,0.093,0.017,1.353,6.071,13.055,1.648,8294.579,14.744,805.405
-34.881,138.708,-34.881138.708,0.123,0.022,1.259,9.681,26.370,1.056,5732.895,16.046,616.033
-34.933,138.727,-34.933138.727,0.130,0.017,1.578,8.941,14.055,1.056,5732.895,14.254,975.738
-35.4292,138.763,-35.4292138.7628,0.077,0.013,1.215,8.230,10.602,1.648,8294.579,16.456,468.105
-35.4333,138.767,-35.4333138.7667,0.081,0.016,0.794,9.852,12.096,1.648,8294.579,16.456,468.105
-34.609,138.861,-34.609138.861,0.092,0.015,0.694,6.039,10.782,1.056,5732.895,16.214,518.933
-34.005,138.959,-34.005138.959,0.107,0.017,1.205,8.249,21.657,1.056,5732.895,14.696,472.595
-30.656,139.547,-30.656139.547,0.033,0.030,0.466,16.378,13.437,0.943,972.053,21.150,107.405
-22.994,139.945,-22.994139.945,0.030,0.031,0.395,26.930,10.778,0.659,527.421,25.016,260.981
-34.003,140.580,-34.003140.58,0.051,0.016,0.878,13.881,8.616,1.079,3127.895,17.817,229.771
-35.34,142.830,-35.34142.83,0.062,0.031,0.907,16.892,NA,0.824,3456.053,17.224,283.795
-36.2,143.750,-36.2143.75,0.096,0.030,1.026,24.651,16.573,1.062,4478.895,16.162,349.505
-41.15,144.983,-41.15144.9833,0.257,0.038,6.415,28.533,16.409,NA,12431.526,11.890,1339.267
-37.8,145.000,-37.8145,0.104,0.023,1.348,14.884,18.573,1.950,10316.263,15.782,616.805
-37.9,145.100,-37.9145.1,0.165,0.033,1.805,15.070,15.437,1.950,10316.263,15.545,708.490
-16.1,145.400,-16.1145.4,0.188,0.049,3.925,4.176,23.080,3.717,14195.789,22.391,2613.872
-16.103,145.447,-16.103145.447,0.094,0.028,3.379,3.599,20.807,3.717,14195.789,23.424,2964.000
-16.1034,145.448,-16.1034145.4479,0.103,0.028,3.179,3.873,16.834,3.717,14195.789,23.424,2964.000
-17.277,145.462,-17.277145.462,0.135,0.021,2.096,5.365,20.858,2.533,10147.895,20.947,2149.481
-17.4603,145.475,-17.4603145.4747,0.261,0.055,5.609,3.921,18.599,2.533,10147.895,19.141,1536.405
-17.455,145.479,-17.455145.4786,0.228,0.062,5.594,3.613,16.914,2.533,10147.895,19.454,1909.324
-17.6891,145.507,-17.6891145.5065,0.164,0.033,3.689,3.531,12.601,2.533,10147.895,19.520,1938.986
-17.6817,145.530,-17.6817145.5299,0.266,0.176,5.748,3.974,20.065,2.533,10147.895,19.520,1938.986
-17.7585,145.546,-17.7585145.5457,0.254,0.109,4.706,3.239,19.901,2.533,10147.895,20.955,2250.114
-17.7868,145.560,-17.7868145.5596,0.207,0.029,3.601,3.298,16.408,2.533,10147.895,20.955,2250.114
-17.5411,145.561,-17.5411145.5614,0.279,0.105,6.075,3.645,24.201,2.533,10147.895,19.669,2733.476
-17.6099,145.563,-17.6099145.5626,0.214,0.042,4.772,3.723,14.587,2.533,10147.895,19.449,2410.981
-17.2655,145.566,-17.2655145.5658,0.275,0.166,3.342,5.552,19.408,2.533,10147.895,21.285,2107.890
-17.1011,145.574,-17.1011145.5735,0.283,0.043,6.651,3.746,23.708,2.533,10147.895,20.048,1457.448
-17.5867,145.582,-17.5867145.582,0.299,0.134,5.739,3.559,25.817,2.533,10147.895,19.449,2410.981
-17.1769,145.587,-17.1769145.5867,0.160,0.037,2.669,3.948,15.887,2.533,10147.895,21.299,1614.671
-17.1772,145.587,-17.1772145.5867,0.160,0.037,2.669,3.948,13.751,2.533,10147.895,21.299,1614.671
-17.1201,145.601,-17.1201145.6008,0.196,0.023,3.256,3.682,15.066,2.533,10147.895,20.310,2271.538
-17.1135,145.601,-17.1135145.6013,0.190,0.022,3.224,3.854,12.107,2.533,10147.895,20.310,2271.538
-17.1192,145.630,-17.1192145.6295,0.155,0.028,2.818,3.664,16.585,2.533,10147.895,21.445,2501.581
-17.117,145.630,-17.117145.63,0.185,0.024,2.732,3.841,12.614,2.533,10147.895,21.445,2501.581
-17.6468,145.638,-17.6468145.6377,0.189,0.043,4.657,2.943,13.601,2.533,10147.895,20.963,3515.909
-17.4206,145.672,-17.4206145.6716,0.259,0.069,5.098,3.713,19.914,2.533,10147.895,21.507,3400.414
-17.5914,145.704,-17.5914145.7036,0.282,0.230,6.451,3.531,20.751,2.533,10147.895,20.969,3496.591
-17.3653,145.715,-17.3653145.7154,0.224,0.145,6.549,3.560,22.928,2.533,10147.895,21.245,2738.424
-17.3516,145.727,-17.3516145.7273,0.304,0.126,5.884,3.678,25.708,2.533,10147.895,21.245,2738.424
-17.61,145.767,-17.61145.7666,0.310,0.153,5.292,2.551,18.408,2.533,10147.895,22.605,2987.895
-37.983,145.800,-37.983145.8,0.186,0.033,3.455,10.616,12.944,1.950,10316.263,13.688,1055.976
-23.87,146.120,-23.87146.12,0.051,0.026,0.665,4.354,5.314,1.268,3411.579,22.185,460.657
-32.9764,146.146,-32.9764146.1458,0.073,0.028,0.943,12.774,12.271,0.950,2994.368,18.264,350.148
-32.9667,146.155,-32.9667146.1547,0.060,0.022,0.919,10.161,9.944,0.950,2994.368,18.264,350.148
-39.0167,146.333,-39.0167146.3333,0.206,0.016,2.805,13.498,23.094,1.548,13741.211,13.872,1006.810
-42.9167,146.433,-42.9167146.4333,0.282,0.036,6.340,18.421,19.259,1.680,10460.947,7.701,1771.848
-23.51,146.520,-23.51146.52,0.039,0.013,0.691,4.326,4.150,1.268,3411.579,22.597,484.748
-43.095,146.650,-43.095146.65,0.302,0.028,4.963,21.301,11.287,1.634,14041.947,10.623,1412.614
-32.8125,146.934,-32.8125146.9336,0.076,0.037,1.132,12.137,13.928,0.950,2994.368,18.119,354.924
-36.874,147.254,-36.874147.254,0.283,0.066,5.214,6.024,27.022,2.231,10020.684,7.301,1377.352
-41.3333,147.750,-41.3333147.75,0.400,0.102,7.232,34.218,22.162,1.456,14655.632,9.883,1057.957
-35.4441,148.929,-35.4441148.9285,0.103,0.024,1.694,4.738,8.971,2.213,10419.737,12.885,819.514
-35.283,149.117,-35.283149.1167,0.084,0.024,1.586,6.451,11.614,1.689,10419.737,13.826,620.243
-34.4572,149.469,-34.4572149.469,0.132,0.027,1.481,6.354,9.944,1.669,8620.474,12.390,706.943
-33.543,150.344,-33.543150.3443,0.188,0.035,3.967,6.479,23.217,2.108,11632.000,13.197,1156.281
-33.5791,150.366,-33.5791150.3656,0.183,0.023,3.432,6.261,13.094,2.108,11632.000,13.197,1156.281
-33.79,150.676,-33.79150.676,0.121,0.029,1.106,16.352,9.614,2.108,11632.000,17.935,791.362
-33.642,150.696,-33.642150.696,0.089,0.022,1.223,8.655,7.300,2.108,11632.000,17.690,781.643
-33.6167,150.733,-33.6167150.7333,0.136,0.037,1.394,12.597,7.300,2.108,11632.000,17.849,780.781
-33.619,150.738,-33.619150.738,0.136,0.030,1.227,15.492,7.793,2.108,11632.000,17.849,780.781
-33.61,150.741,-33.61150.7407,0.146,0.031,1.250,13.657,6.807,2.108,11632.000,17.849,780.781
-33.6108,150.741,-33.6108150.741,0.149,0.033,1.270,14.027,6.643,2.108,11632.000,17.849,780.781
-33.68,150.755,-33.68150.755,0.099,0.024,1.165,13.876,7.957,2.108,11632.000,17.890,794.124
-33.6617,150.783,-33.6617150.7828,0.138,0.031,1.303,12.301,8.450,2.108,11632.000,17.851,791.681
-33.8557,150.995,-33.8557150.9951,0.102,0.026,1.352,11.024,9.287,2.108,11632.000,18.125,879.719
-34.0981,151.059,-34.0981151.0594,0.139,0.019,2.103,10.733,11.930,NA,14289.211,17.404,1110.400
-33.7833,151.117,-33.7833151.1167,0.116,0.023,1.709,9.824,8.136,2.460,15049.842,18.019,1051.581
-27.7348,151.140,-27.7348151.1395,0.081,0.024,1.401,9.571,16.037,2.317,8133.842,18.631,554.929
-33.9083,151.142,-33.9083151.1417,0.105,0.022,1.564,9.475,9.957,2.460,15049.842,18.364,1057.381
-33.6939,151.143,-33.6939151.1431,0.177,0.032,2.850,13.513,11.107,2.460,15049.842,17.461,1163.224
-33.693,151.145,-33.693151.145,0.145,0.023,2.149,12.844,10.437,2.460,15049.842,17.461,1163.224
-33.8753,151.185,-33.8753151.1849,NA,NA,NA,NA,NA,2.460,15049.842,18.454,1124.771
-33.591,151.280,-33.591151.28,0.170,0.027,2.346,8.368,10.450,2.460,15049.842,17.838,1211.952
-33.5384,151.283,-33.5384151.2827,0.198,0.038,2.567,9.728,11.450,2.460,15049.842,17.782,1173.367
-33.5885,151.283,-33.5885151.2834,0.142,0.026,2.375,7.761,10.450,2.460,15049.842,17.838,1211.952
-33.5789,151.292,-33.5789151.2922,NA,NA,NA,NA,NA,2.460,15049.842,18.142,1197.052
-33.578,151.298,-33.578151.298,NA,NA,NA,NA,NA,2.460,15049.842,18.142,1197.052
-33.3709,151.316,-33.3709151.3161,0.204,0.029,3.113,10.014,16.723,2.460,15049.842,17.481,1152.848
-33.1983,151.316,-33.1983151.3164,0.177,0.023,2.869,9.162,16.080,2.460,15049.842,17.384,1042.786
-33.3708,151.318,-33.3708151.3179,0.185,0.020,3.099,8.915,15.080,2.460,15049.842,17.481,1152.848
-33.3718,151.319,-33.3718151.3188,0.182,0.021,3.088,8.334,17.560,2.460,15049.842,17.481,1152.848
-33.3747,151.321,-33.3747151.3206,0.144,0.028,2.709,8.491,16.066,2.460,15049.842,17.481,1152.848
-33.3714,151.321,-33.3714151.3208,0.194,0.027,3.230,10.023,12.437,2.460,15049.842,17.481,1152.848
-33.3718,151.321,-33.3718151.3211,0.194,0.027,3.230,10.023,12.437,2.460,15049.842,17.481,1152.848
-33.3716,151.322,-33.3716151.3215,0.194,0.027,3.230,10.023,10.450,2.460,15049.842,17.481,1152.848
-33.3763,151.323,-33.3763151.3225,0.165,0.027,2.608,7.275,17.573,2.460,15049.842,17.637,1174.638
-33.3789,151.324,-33.3789151.3239,0.153,0.027,2.694,7.956,18.066,2.460,15049.842,17.637,1174.638
-33.3741,151.324,-33.3741151.324,0.193,0.025,3.194,8.993,14.916,2.460,15049.842,17.481,1152.848
-32.1167,151.417,-32.1167151.4167,0.218,0.035,3.590,9.106,22.228,2.105,9399.895,14.262,1184.871
-30.5,152.417,-30.5152.4167,0.231,0.038,5.307,6.491,29.010,2.817,8294.316,15.813,1325.033
-26.9,152.900,-26.9152.9,0.152,0.041,2.579,7.831,8.944,2.735,13497.474,19.977,1294.229
-28.64,153.340,-28.64153.34,0.188,0.025,4.463,8.097,15.408,3.015,16954.632,19.304,1515.967
-28.63,153.360,-28.63153.36,0.215,0.031,5.562,7.307,19.544,3.015,16954.632,19.304,1515.967
-27.5,153.500,-27.5153.5,0.069,0.017,2.383,5.080,13.930,2.695,13857.158,20.660,1329.862
