Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,species_binom,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG
7761,Smith_1996,Smilacaceae,Smilax,herbaceous,long,0,AM,Smilax australis,-32.1166667,151.4166667,12.045,0.945,NA,12.74603175,NA,NA,-32.1166667151.4166667
7165,Smith_1996,Pteridaceae,Pellaea,herbaceous,long,0,AM,Pellaea falcata,-32.1166667,151.4166667,21.783,2.224,NA,9.794514388,NA,NA,-32.1166667151.4166667
1048,Smith_1996,Dryopteridaceae,Polystichum,herbaceous,long,0,AM,Polystichum proliferum,-32.1166667,151.4166667,18.611,2.757,NA,6.750453391,NA,NA,-32.1166667151.4166667
6519,Smith_1996,Polypodiaceae,Pyrrosia,herbaceous,long,0,NM-AM,Pyrrosia rupestris,-32.1166667,151.4166667,2.446,1.535,NA,1.593485342,NA,NA,-32.1166667151.4166667
7164,Smith_1996,Psilotaceae,Tmesipteris,herbaceous,long,0,AM,Tmesipteris ovata,-32.1166667,151.4166667,19.536,8.02,NA,2.435910224,NA,NA,-32.1166667151.4166667
73,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,34,NA,439,NA,12.91176471,NA,-35.283149.1167
75,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,26,NA,458,NA,17.61538462,NA,-35.283149.1167
74,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,48,NA,414,NA,8.625,NA,-35.283149.1167
76,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,24,NA,436,NA,18.16666667,NA,-35.283149.1167
77,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,46,NA,428,NA,9.304347826,NA,-35.283149.1167
79,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,41,NA,442,NA,10.7804878,NA,-35.283149.1167
78,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,35,NA,427,NA,12.2,NA,-35.283149.1167
80,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,20,NA,440,NA,22,NA,-35.283149.1167
82,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,17,NA,449,NA,26.41176471,NA,-35.283149.1167
81,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,14,NA,459,NA,32.78571429,NA,-35.283149.1167
84,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,24,NA,447,NA,18.625,NA,-35.283149.1167
85,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,20,NA,465,NA,23.25,NA,-35.283149.1167
88,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,7,NA,439,NA,62.71428571,NA,-35.283149.1167
83,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,31,NA,452,NA,14.58064516,NA,-35.283149.1167
86,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,12,NA,435,NA,36.25,NA,-35.283149.1167
87,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,7,NA,463,NA,66.14285714,NA,-35.283149.1167
89,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,27,NA,444,NA,16.44444444,NA,-35.283149.1167
94,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,13,NA,462,NA,35.53846154,NA,-35.283149.1167
91,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,10,NA,461,NA,46.1,NA,-35.283149.1167
90,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,12,NA,449,NA,37.41666667,NA,-35.283149.1167
93,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,12,NA,464,NA,38.66666667,NA,-35.283149.1167
92,Geange_2017,Apiaceae,Aciphylla,herbaceous,long,0,AM,Aciphylla glacialis,-35.283,149.1167,7,NA,463,NA,66.14285714,NA,-35.283149.1167
